Participant,Q1_Ease_of_Use,Q2_Clarity_of_Responses,Q3_Perceived_Accuracy,Q4_Usefulness_of_Clarification,Q5_Overall_Satisfaction
1,5,5,5,5,5
2,4,4,5,4,5
3,5,4,4,5,5
4,4,4,4,4,4
5,5,5,5,5,5
6,5,4,5,4,5
7,5,5,5,5,5
8,4,4,4,4,4
9,4,5,4,4,4
10,5,4,5,5,5
11,3,4,4,3,4
12,4,4,4,4,5
13,5,4,5,4,5
14,5,5,5,5,5
15,4,4,4,4,4
16,5,5,5,5,5
17,5,4,5,5,5
18,4,4,3,4,4
19,5,4,5,4,5
20,4,3,4,3,4
21,5,5,5,4,5
22,5,5,4,4,5
23,4,4,4,4,4
24,5,4,5,4,5
25,4,4,4,4,4
26,3,3,3,3,3
27,5,5,5,5,5
28,4,4,4,4,4
29,5,5,5,5,5
30,5,4,5,5,5
31,4,4,4,3,4
32,5,5,5,5,5
33,4,4,4,4,4
34,3,4,3,3,3
35,5,5,5,4,5
36,4,4,4,4,4
37,5,5,5,5,5
38,5,4,4,4,4
39,4,4,4,4,4
40,2,2,2,2,2
41,5,5,5,5,5
42,5,5,5,4,5
43,4,4,4,4,4
44,5,5,5,5,5
45,5,4,5,4,5
46,4,4,4,3,4
47,5,5,4,5,5
48,4,4,4,4,4
49,3,3,3,3,3
50,1,2,2,1,1

